Variant	IIPC-Lines	IIPC-Bytes	IIPC-Gzip	MC-Lines	MC-Bytes	MC-Gzip	MERGED-Lines	MERGED-Bytes	MERGED-Gzip
SEED	4716	369144	117144	473	36312	13059	5189	405456	129951
URIR	4716	369144	118506	440	33370	12564	5155	402470	130911
SURT	4708	321781	107116	439	29075	11896	5145	350792	118323
HxPx	4531	306870	101233	360	23675	10249	4888	330462	110886
HxP1	3258	93843	34681	285	7795	3512	3500	100789	37525
HxP0	2612	40027	16174	233	3534	1624	2788	42844	17309
H3P0	2555	37937	15512	233	3502	1603	2731	40727	16637
H2P0	2188	29361	12357	208	2847	1321	2337	31530	13230
H1P0	116	389	263	27	102	107	125	424	283
DSuf	207	1131	552	31	138	130	217	1176	577
DDom	2393	33223	13780	219	3026	1397	2550	35512	14705
DSub	2439	41031	14905	226	3780	1540	2605	43924	15933
DPth	2788	51836	17394	247	4581	1778	2975	55418	18592
DQry	2824	58086	17955	265	5408	1888	3029	62384	19245
DIni	3154	70705	21418	295	6598	2223	3403	76368	23022
W2.00	4153	268087	91682	360	23675	10250	4510	291679	101325
W1.00	3677	223885	80082	331	21174	9425	3950	241732	87523
W0.50	3125	170922	63779	308	18347	8424	3388	186602	70599
W0.10	2313	51274	20609	222	5102	2353	2472	55027	22181
W0.05	2197	46827	19311	209	4622	2193	2348	50334	20779
W0.01	2188	29365	12364	208	2847	1322	2337	31534	13236
